Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](TimeStep),Environment:Site Direct Solar Radiation Rate per Area [W/m2](TimeStep),THERMAL ZONE 1 189.1-2009 - OFFICE - CLOSEDOFFICE - CZ4-8 PEOPLE:People Occupant Count [](TimeStep),THERMAL ZONE 1 189.1-2009 - OFFICE - CLOSEDOFFICE - CZ4-8 PEOPLE:People Total Heating Rate [W](TimeStep),THERMAL ZONE 1 189.1-2009 - OFFICE - CLOSEDOFFICE - CZ4-8 LIGHTS:Lights Electric Power [W](TimeStep),THERMAL ZONE 1 189.1-2009 - OFFICE - CLOSEDOFFICE - CZ4-8 ELECTRIC EQUIPMENT:Electric Equipment Electric Power [W](TimeStep),THERMAL ZONE 1:Zone Windows Total Transmitted Solar Radiation Rate [W](TimeStep),THERMAL ZONE 1:Zone Windows Total Heat Gain Rate [W](TimeStep),THERMAL ZONE 1:Zone Windows Total Heat Loss Rate [W](TimeStep),SUB SURFACE 2:Surface Window Total Glazing Layers Absorbed Solar Radiation Rate [W](TimeStep),SUB SURFACE 2:Surface Window Total Glazing Layers Absorbed Shortwave Radiation Rate [W](TimeStep),SUB SURFACE 2:Surface Window Heat Gain Rate [W](TimeStep),SUB SURFACE 2:Surface Window Heat Loss Rate [W](TimeStep),SURFACE 2:Surface Inside Face Beam Solar Radiation Heat Gain Rate [W](TimeStep),SURFACE 3:Surface Inside Face Beam Solar Radiation Heat Gain Rate [W](TimeStep),SURFACE 4:Surface Outside Face Solar Radiation Heat Gain Rate [W](TimeStep),SURFACE 4:Surface Outside Face Solar Radiation Heat Gain Rate per Area [W/m2](TimeStep),SURFACE 4:Surface Inside Face Beam Solar Radiation Heat Gain Rate [W](TimeStep),SURFACE 5:Surface Inside Face Beam Solar Radiation Heat Gain Rate [W](TimeStep),SURFACE 1:Surface Inside Face Beam Solar Radiation Heat Gain Rate [W](TimeStep),SURFACE 6:Surface Inside Face Beam Solar Radiation Heat Gain Rate [W](TimeStep),THERMAL ZONE 1:Zone Mean Radiant Temperature [C](TimeStep),THERMAL ZONE 1:Zone Mean Air Temperature [C](TimeStep),THERMAL ZONE 1:Zone Operative Temperature [C](TimeStep),THERMAL ZONE 1:Zone Infiltration Sensible Heat Loss Energy [J](TimeStep),THERMAL ZONE 1:Zone Infiltration Sensible Heat Gain Energy [J](TimeStep),THERMAL ZONE 1:Zone Air System Sensible Heating Rate [W](TimeStep),THERMAL ZONE 1:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),THERMAL ZONE 1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),THERMAL ZONE 1 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Heating Rate [W](TimeStep),THERMAL ZONE 1 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Cooling Rate [W](TimeStep) 
 02/22  01:10:00,-7.116666667,0,0,0,0,6,19.44,0,0,161.2193553,0,0,0,161.2193553,0,0,0,0,0,0,0,0,24.79861738,24.08362443,24.4411209,26618.1425,0,0,16,28,0,0
 02/22  01:15:00,-7.075,0,0,0,0,6,19.44,0,0,160.5863796,0,0,0,160.5863796,0,0,0,0,0,0,0,0,24.73634603,24.0240309,24.38018847,26525.06003,0,0,16,28,0,0
 02/22  01:20:00,-7.033333333,0,0,0,0,6,19.44,0,0,159.9540833,0,0,0,159.9540833,0,0,0,0,0,0,0,0,24.67430283,23.96449754,24.31940018,26432.07499,0,0,16,28,0,0
 02/22  01:25:00,-6.991666667,0,0,0,0,6,19.44,0,0,159.3231663,0,0,0,159.3231663,0,0,0,0,0,0,0,0,24.61250164,23.90519927,24.25885046,26339.33645,0,0,16,28,0,0
 02/22  01:30:00,-6.95,0,0,0,0,6,19.44,0,0,158.6940299,0,0,0,158.6940299,0,0,0,0,0,0,0,0,24.55095437,23.84617872,24.19856654,26246.88052,0,0,16,28,0,0
 02/22  01:35:00,-6.908333333,0,0,0,0,6,19.44,0,0,158.0668046,0,0,0,158.0668046,0,0,0,0,0,0,0,0,24.48966549,23.78742446,24.13854497,26154.6973,0,0,16,28,0,0
 02/22  01:40:00,-6.866666667,0,0,0,0,6,19.44,0,0,157.4414889,0,0,0,157.4414889,0,0,0,0,0,0,0,0,24.42863446,23.7289213,24.07877788,26062.77364,0,0,16,28,0,0
 02/22  01:45:00,-6.825,0,0,0,0,6,19.44,0,0,156.8180548,0,0,0,156.8180548,0,0,0,0,0,0,0,0,24.36785914,23.67066406,24.0192616,25971.10494,0,0,16,28,0,0
 02/22  01:50:00,-6.783333333,0,0,0,0,6,19.44,0,0,156.1964863,0,0,0,156.1964863,0,0,0,0,0,0,0,0,24.30733762,23.61265393,23.95999578,25879.69203,0,0,16,28,0,0
 02/22  01:55:00,-6.741666667,0,0,0,0,6,19.44,0,0,155.5767786,0,0,0,155.5767786,0,0,0,0,0,0,0,0,24.24706857,23.5548929,23.90098073,25788.53643,0,0,16,28,0,0
 02/22  02:00:00,-6.7,0,0,0,0,6,19.44,0,0,154.9589296,0,0,0,154.9589296,0,0,0,0,0,0,0,0,24.18705097,23.49738149,23.84221623,25697.6384,0,0,16,28,0,0
 02/22  02:05:00,-6.608333333,0,0,0,0,6,19.44,0,0,153.9960096,0,0,0,153.9960096,0,0,0,0,0,0,0,0,24.12809867,23.44089588,23.78449728,25560.50071,0,0,16,28,0,0
 02/22  02:10:00,-6.516666667,0,0,0,0,6,19.44,0,0,153.0412542,0,0,0,153.0412542,0,0,0,0,0,0,0,0,24.06954155,23.38559448,23.72756802,25424.48658,0,0,16,28,0,0
 02/22  02:15:00,-6.425,0,0,0,0,6,19.44,0,0,152.0918169,0,0,0,152.0918169,0,0,0,0,0,0,0,0,24.0114093,23.33119038,23.67129984,25289.35076,0,0,16,28,0,0
 02/22  02:20:00,-6.333333333,0,0,0,0,6,19.44,0,0,151.1467054,0,0,0,151.1467054,0,0,0,0,0,0,0,0,23.95369964,23.27736508,23.61553236,25154.82157,0,0,16,28,0,0
 02/22  02:25:00,-6.241666667,0,0,0,0,6,19.44,0,0,150.2051682,0,0,0,150.2051682,0,0,0,0,0,0,0,0,23.89639447,23.22394598,23.56017023,25020.75169,0,0,16,28,0,0
 02/22  02:30:00,-6.15,0,0,0,0,6,19.44,0,0,149.266744,0,0,0,149.266744,0,0,0,0,0,0,0,0,23.8394778,23.17088607,23.50518193,24887.10065,0,0,16,28,0,0
 02/22  02:35:00,-6.058333333,0,0,0,0,6,19.44,0,0,148.3312254,0,0,0,148.3312254,0,0,0,0,0,0,0,0,23.78294088,23.11819071,23.4505658,24753.87249,0,0,16,28,0,0
 02/22  02:40:00,-5.966666667,0,0,0,0,6,19.44,0,0,147.3985281,0,0,0,147.3985281,0,0,0,0,0,0,0,0,23.72678009,23.06587008,23.39632509,24621.07531,0,0,16,28,0,0
 02/22  02:45:00,-5.875,0,0,0,0,6,19.44,0,0,146.4685938,0,0,0,146.4685938,0,0,0,0,0,0,0,0,23.67099368,23.0139256,23.34245964,24488.70979,0,0,16,28,0,0
 02/22  02:50:00,-5.783333333,0,0,0,0,6,19.44,0,0,145.5413539,0,0,0,145.5413539,0,0,0,0,0,0,0,0,23.61558,22.96235294,23.28896647,24356.77173,0,0,16,28,0,0
 02/22  02:55:00,-5.691666667,0,0,0,0,6,19.44,0,0,144.6167292,0,0,0,144.6167292,0,0,0,0,0,0,0,0,23.5605372,22.91114716,23.23584218,24225.25642,0,0,16,28,0,0
 02/22  03:00:00,-5.6,0,0,0,0,6,19.44,0,0,143.6946377,0,0,0,143.6946377,0,0,0,0,0,0,0,0,23.50586329,22.86030487,23.18308408,24094.16048,0,0,16,28,0,0
 02/22  03:05:00,-5.5,0,0,0,0,6,19.44,0,0,143.0463354,0,0,0,143.0463354,0,0,0,0,0,0,0,0,23.45091455,22.80962558,23.13027007,23954.32667,0,0,16,28,0,0
 02/22  03:10:00,-5.4,0,0,0,0,6,19.44,0,0,142.3851726,0,0,0,142.3851726,0,0,0,0,0,0,0,0,23.39628048,22.75906384,23.07767216,23814.73191,0,0,16,28,0,0
 02/22  03:15:00,-5.3,0,0,0,0,6,19.44,0,0,141.7197257,0,0,0,141.7197257,0,0,0,0,0,0,0,0,23.34195194,22.7086872,23.02531957,23675.43299,0,0,16,28,0,0
 02/22  03:20:00,-5.2,0,0,0,0,6,19.44,0,0,141.0511537,0,0,0,141.0511537,0,0,0,0,0,0,0,0,23.28793253,22.65857429,22.97325341,23536.49594,0,0,16,28,0,0
 02/22  03:25:00,-5.1,0,0,0,0,6,19.44,0,0,140.3798884,0,0,0,140.3798884,0,0,0,0,0,0,0,0,23.23422917,22.60876986,22.92149952,23397.95807,0,0,16,28,0,0
 02/22  03:30:00,-5,0,0,0,0,6,19.44,0,0,139.7062179,0,0,0,139.7062179,0,0,0,0,0,0,0,0,23.18084755,22.55928814,22.87006784,23259.83079,0,0,16,28,0,0
 02/22  03:35:00,-4.9,0,0,0,0,6,19.44,0,0,139.0303544,0,0,0,139.0303544,0,0,0,0,0,0,0,0,23.12779108,22.51012981,22.81896045,23122.11413,0,0,16,28,0,0
 02/22  03:40:00,-4.8,0,0,0,0,6,19.44,0,0,138.3524709,0,0,0,138.3524709,0,0,0,0,0,0,0,0,23.07506154,22.46129362,22.76817758,22984.80645,0,0,16,28,0,0
 02/22  03:45:00,-4.7,0,0,0,0,6,19.44,0,0,137.6727251,0,0,0,137.6727251,0,0,0,0,0,0,0,0,23.02265988,22.4127799,22.71771989,22847.90746,0,0,16,28,0,0
 02/22  03:50:00,-4.6,0,0,0,0,6,19.44,0,0,136.9912692,0,0,0,136.9912692,0,0,0,0,0,0,0,0,22.97058678,22.3645901,22.66758844,22711.41781,0,0,16,28,0,0
 02/22  03:55:00,-4.5,0,0,0,0,6,19.44,0,0,136.3082505,0,0,0,136.3082505,0,0,0,0,0,0,0,0,22.91884273,22.31672565,22.61778419,22575.33813,0,0,16,28,0,0
 02/22  04:00:00,-4.4,0,0,0,0,6,19.44,0,0,135.6238102,0,0,0,135.6238102,0,0,0,0,0,0,0,0,22.86742809,22.26918743,22.56830776,22439.66858,0,0,16,28,0,0
 02/22  04:05:00,-4.358333333,0,0,0,0,6,19.44,0,0,135.1862822,0,0,0,135.1862822,0,0,0,0,0,0,0,0,22.81575172,22.22124294,22.51849733,22357.14509,0,0,16,28,0,0
 02/22  04:10:00,-4.316666667,0,0,0,0,6,19.44,0,0,134.7424893,0,0,0,134.7424893,0,0,0,0,0,0,0,0,22.7642845,22.17273908,22.46851179,22274.20161,0,0,16,28,0,0
 02/22  04:15:00,-4.275,0,0,0,0,6,19.44,0,0,134.2969155,0,0,0,134.2969155,0,0,0,0,0,0,0,0,22.71298739,22.12393942,22.41846341,22191.06012,0,0,16,28,0,0
 02/22  04:20:00,-4.233333333,0,0,0,0,6,19.44,0,0,133.8505576,0,0,0,133.8505576,0,0,0,0,0,0,0,0,22.66185605,22.0751404,22.36849822,22107.96993,0,0,16,28,0,0
 02/22  04:25:00,-4.191666667,0,0,0,0,6,19.44,0,0,133.4040486,0,0,0,133.4040486,0,0,0,0,0,0,0,0,22.61090201,22.02650485,22.31870343,22025.06781,0,0,16,28,0,0
 02/22  04:30:00,-4.15,0,0,0,0,6,19.44,0,0,132.9577581,0,0,0,132.9577581,0,0,0,0,0,0,0,0,22.560136,21.97807804,22.26910702,21942.39162,0,0,16,28,0,0
 02/22  04:35:00,-4.108333333,0,0,0,0,6,19.44,0,0,132.5118291,0,0,0,132.5118291,0,0,0,0,0,0,0,0,22.50956286,21.92985438,22.21970862,21859.93647,0,0,16,28,0,0
 02/22  04:40:00,-4.066666667,0,0,0,0,6,19.44,0,0,132.06629,0,0,0,132.06629,0,0,0,0,0,0,0,0,22.45918315,21.88182205,22.1705026,21777.69226,0,0,16,28,0,0
 02/22  04:45:00,-4.025,0,0,0,0,6,19.44,0,0,131.6211421,0,0,0,131.6211421,0,0,0,0,0,0,0,0,22.40899593,21.83397677,22.12148635,21695.65521,0,0,16,28,0,0
 02/22  04:50:00,-3.983333333,0,0,0,0,6,19.44,0,0,131.1763938,0,0,0,131.1763938,0,0,0,0,0,0,0,0,22.35900032,21.78631977,22.07266005,21613.82618,0,0,16,28,0,0
 02/22  04:55:00,-3.941666667,0,0,0,0,6,19.44,0,0,130.7320621,0,0,0,130.7320621,0,0,0,0,0,0,0,0,22.30919584,21.7388533,22.02402457,21532.20689,0,0,16,28,0,0
 02/22  05:00:00,-3.9,0,0,0,0,6,19.44,0,0,130.2881663,0,0,0,130.2881663,0,0,0,0,0,0,0,0,22.25958227,21.69157849,21.97558038,21450.79811,0,0,16,28,0,0
 02/22  05:05:00,-3.85,0,0,0,0,6,19.44,0,0,129.610564,0,0,0,129.610564,0,0,0,0,0,0,0,0,22.21071998,21.64479933,21.92775965,21362.70091,0,0,16,28,0,0
 02/22  05:10:00,-3.8,0,0,0,0,6,19.44,0,0,128.936912,0,0,0,128.936912,0,0,0,0,0,0,0,0,22.16212667,21.59859075,21.88035871,21275.13846,0,0,16,28,0,0
 02/22  05:15:00,-3.75,0,0,0,0,6,19.44,0,0,128.2637404,0,0,0,128.2637404,0,0,0,0,0,0,0,0,22.11381208,21.55285301,21.83333254,21188.02674,0,0,16,28,0,0
 02/22  05:20:00,-3.7,0,0,0,0,6,19.44,0,0,127.59021,0,0,0,127.59021,0,0,0,0,0,0,0,0,22.06577514,21.50746581,21.78662048,21101.26463,0,0,16,28,0,0
 02/22  05:25:00,-3.65,0,0,0,0,6,19.44,0,0,126.9158544,0,0,0,126.9158544,0,0,0,0,0,0,0,0,22.01800922,21.46235955,21.74018438,21014.79355,0,0,16,28,0,0
 02/22  05:30:00,-3.6,0,0,0,0,6,19.44,0,0,126.240343,0,0,0,126.240343,0,0,0,0,0,0,0,0,21.97050847,21.41751214,21.69401031,20928.59476,0,0,16,28,0,0
 02/22  05:35:00,-3.55,0,0,0,0,6,19.44,0,0,125.5634342,0,0,0,125.5634342,0,0,0,0,0,0,0,0,21.92326986,21.37292348,21.64809667,20842.66794,0,0,16,28,0,0
 02/22  05:40:00,-3.5,0,0,0,0,6,19.44,0,0,124.884926,0,0,0,124.884926,0,0,0,0,0,0,0,0,21.87629248,21.32859723,21.60244485,20757.01587,0,0,16,28,0,0
 02/22  05:45:00,-3.45,0,0,0,0,6,19.44,0,0,124.2046192,0,0,0,124.2046192,0,0,0,0,0,0,0,0,21.82957638,21.2845347,21.55705554,20671.63941,0,0,16,28,0,0
 02/22  05:50:00,-3.4,0,0,0,0,6,19.44,0,0,123.5223021,0,0,0,123.5223021,0,0,0,0,0,0,0,0,21.78312191,21.24073531,21.51192861,20586.53781,0,0,16,28,0,0
 02/22  05:55:00,-3.35,0,0,0,0,6,19.44,0,0,122.8377488,0,0,0,122.8377488,0,0,0,0,0,0,0,0,21.73692951,21.19719823,21.46706387,20501.71015,0,0,16,28,0,0
 02/22  06:00:00,-3.3,0,0,0,0,6,19.44,0,0,122.1507201,0,0,0,122.1507201,0,0,0,0,0,0,0,0,21.6909997,21.1539233,21.4224615,20417.15601,0,0,16,28,0,0
 02/22  06:05:00,-3.3,0,0,0.12,12,6,19.44,0,0,121.8791073,0,0,0,121.8791073,0,0,0,0,0,0,0,0,21.64583091,21.12405877,21.38494484,20388.33476,0,0,16,28,0,0
 02/22  06:10:00,-3.3,0,0,0.12,12,6,19.44,0,0,121.7059834,0,0,0,121.7059834,0,0,0,0,0,0,0,0,21.60101472,21.09635053,21.34868263,20361.32262,0,0,16,28,0,0
 02/22  06:15:00,-3.3,0,0,0.12,12,6,19.44,0,0,121.5347386,0,0,0,121.5347386,0,0,0,0,0,0,0,0,21.55682537,21.06304011,21.30993274,20329.64471,0,0,16,28,0,0
 02/22  06:20:00,-3.3,0,0,0.12,12,6,19.44,0,0,121.3551406,0,0,0,121.3551406,0,0,0,0,0,0,0,0,21.512671,21.02370941,21.26819021,20292.95489,0,0,16,28,0,0
 02/22  06:25:00,-3.3,0,0,0.12,12,6,19.44,0,0,121.1648489,0,0,0,121.1648489,0,0,0,0,0,0,0,0,21.46828064,20.98104359,21.22466211,20253.49575,0,0,16,28,0,0
 02/22  06:30:00,-3.3,0,0,0.12,12,6,19.44,0,0,120.9676913,0,0,0,120.9676913,0,0,0,0,0,0,0,0,21.42368431,20.93737843,21.18053137,20213.21679,0,0,16,28,0,0
 02/22  06:35:00,-3.3,0,0,0.12,12,6,19.44,0,0,120.7678025,0,0,0,120.7678025,0,0,0,0,0,0,0,0,21.37900429,20.89375809,21.13638119,20172.98911,0,0,16,28,0,0
 02/22  06:40:00,-3.3,0,0,0.12,12,6,19.44,0,0,120.567374,0,0,0,120.567374,0,0,0,0,0,0,0,0,21.33433214,20.85035301,21.09234258,20132.95476,0,0,16,28,0,0
 02/22  06:45:00,-3.3,0,0,0.12,12,6,19.44,0,0,120.3669944,0,0,0,120.3669944,0,0,0,0,0,0,0,0,21.28970687,20.80704949,21.04837818,20093.01886,0,0,16,28,0,0
 02/22  06:50:00,-3.3,0,0,0.12,12,6,19.44,0,0,120.1665967,0,0,0,120.1665967,0,0,0,0,0,0,0,0,21.24513669,20.76375579,21.00444624,20053.10494,0,0,16,28,0,0
 02/22  06:55:00,-3.3,14.16666667,0,0.12,12,6,19.44,15.83230274,0,102.7828331,4.87736591,5.244355286,0,102.7828331,0,0,29.07517448,5.047773348,0,0,0,0,21.21599673,20.72470057,20.97034865,20016.73608,0,0,16,28,0,0
 02/22  07:00:00,-3.3,17,0,0.12,12,6,19.44,27.90095512,0,89.55143992,8.59528583,9.242023976,0,89.55143992,0,0,55.45991332,9.628457174,0,0,0,0,21.18918207,20.69175856,20.94047031,19985.47192,0,0,16,28,0,0
 02/22  07:05:00,-3.3,19.83333333,0,0.12,12,6,19.44,31.28379173,0,85.58918472,9.637416731,10.3625683,0,85.58918472,0,0,61.77491401,10.72481146,0,0,0,0,21.15824554,20.66226855,20.91025705,19960.57536,0,0,16,28,0,0
 02/22  07:10:00,-3.3,22.66666667,0,0.12,12,6,19.44,34.5945203,0,81.70961178,10.65733373,11.45922728,0,81.70961178,0,0,67.92329946,11.79223949,0,0,0,0,21.12770174,20.63352158,20.88061166,19936.29853,0,0,16,28,0,0
 02/22  07:15:00,-3.3,25.5,0,0.12,12,6,19.44,37.91798006,0,77.82143155,11.68117275,12.56010338,0,77.82143155,0,0,74.10110202,12.86477466,0,0,0,0,21.09794988,20.60455605,20.85125296,19911.84045,0,0,16,28,0,0
 02/22  07:20:00,-3.3,28.33333333,0,0.12,12,6,19.44,41.28710678,0,73.88351756,12.71908013,13.67610639,0,73.88351756,0,0,80.38442419,13.9556292,0,0,0,0,21.0690734,20.57560895,20.82234118,19887.39853,0,0,16,28,0,0
 02/22  07:25:00,-3.3,31.16666667,0,0.12,12,6,19.44,43.93941921,0,70.71788969,13.53616267,14.55466897,0,70.71788969,0,0,85.01145116,14.75893249,0,0,0,0,21.04038481,20.5470151,20.79369996,19863.25165,0,0,16,28,0,0
 02/22  07:30:00,-3.3,34,0,0.12,12,6,19.44,46.45715994,0,67.70117217,14.3117885,15.38865548,0,67.70117217,0,0,89.32753223,15.50825212,0,0,0,0,21.0122061,20.51892376,20.76556493,19839.52409,0,0,16,28,0,0
 02/22  07:35:00,-3.3,37.16666667,0,0.12,12,6,19.44,49.93748042,0,63.64579519,15.38395069,16.54149076,0,63.64579519,0,0,95.69113591,16.61304443,0,0,0,0,20.98560984,20.491628,20.73861892,19816.45994,0,0,16,28,0,0
 02/22  07:40:00,-3.3,40.33333333,0,0.12,12,6,19.44,53.54257163,0,59.45071421,16.49455028,17.73565559,0,59.45071421,0,0,102.3430391,17.76788873,0,0,0,0,20.9601835,20.4653897,20.7127866,19794.2773,0,0,16,28,0,0
 02/22  07:45:00,-3.3,43.5,0,0.12,12,6,19.44,57.24357538,0,55.17648597,17.6346971,18.96159088,0,55.17648597,0,0,109.216561,18.9612085,0,0,0,0,20.93584251,20.44029982,20.68807117,19773.05185,0,0,16,28,0,0
 02/22  07:50:00,-3.3,46.66666667,0,0.12,12,6,19.44,61.02122152,0,50.78388759,18.79845469,20.21291349,0,50.78388759,0,0,116.2671753,20.1852735,0,0,0,0,20.91275884,20.41637738,20.66456811,19752.79941,0,0,16,28,0,0
 02/22  07:55:00,-3.3,49.83333333,0,0.12,12,6,19.44,64.8621941,0,46.347369,19.98172089,21.48521261,0,46.347369,0,0,123.4641139,21.434742,0,0,0,0,20.89074458,20.39361163,20.6421781,19733.51096,0,0,16,28,0,0
 02/22  08:00:00,-3.3,53,0,0.12,12,6,19.44,68.75703208,0,41.84395694,21.18158109,22.77535433,0,41.84395694,0,0,130.7855157,22.7058187,0,0,0,0,20.86992803,20.37197916,20.62095359,19715.16697,0,0,16,28,0,0
 02/22  08:05:00,-3.075,56.16666667,0,0.12,12,6,19.44,72.69885858,0,36.84492895,22.39591678,24.0810607,0,36.84492895,0,0,138.2154907,23.99574492,0,0,0,0,20.8513489,20.35378443,20.60256666,19495.00414,0,0,16,28,0,0
 02/22  08:10:00,-2.85,59.33333333,0,0.12,12,6,19.44,76.68258119,0,31.78934654,23.62315916,25.40064491,0,31.78934654,0,0,145.7422723,25.30247783,0,0,0,0,20.8342951,20.3395467,20.5869209,19278.53105,0,0,16,28,0,0
 02/22  08:15:00,-2.625,62.5,0,0.12,12,6,19.44,80.70437196,0,26.66712029,24.86212897,26.73283898,0,26.66712029,0,0,153.3570155,26.62448186,0,0,0,0,20.81891332,20.32848399,20.57369865,19065.08824,0,0,16,28,0,0
 02/22  08:20:00,-2.4,65.66666667,0,0.12,12,6,19.44,84.76131945,0,21.48339897,26.11192931,28.07667849,0,21.48339897,0,0,161.052993,27.96058906,0,0,0,0,20.80522505,20.31968019,20.56245262,18853.90735,0,0,16,28,0,0
 02/22  08:25:00,-2.175,68.83333333,0,0.12,12,6,19.44,88.8511902,0,16.24297297,27.37187213,29.43142364,0,16.24297297,0,0,168.825044,29.30990348,0,0,0,0,20.79320023,20.31260829,20.55290426,18644.54535,0,0,16,28,0,0
